;Longitude;Latitude;Esri_label;Corine_label;hfi
1;27.1034944219769;57.725905786046;Trees;Coniferous forest;10
2;26.5125696953139;58.4365138707273;Trees;Mixed forest;7
3;26.1604047173088;58.431001331598;Trees;Broad-leaved forest;2
4;24.8714500421875;58.7442375957994;Trees;Mixed forest;10
5;25.5058114475589;58.4633665124225;Trees;Mixed forest;3
6;26.8578770533788;59.38386284497;Trees;Broad-leaved forest;4
7;24.9915747988477;58.9994445583399;Trees;Mixed forest;10
8;25.2678302564118;57.9025991188715;Trees;Broad-leaved forest;12
9;25.3026980962734;59.339050148967;Trees;Mixed forest;16
10;27.2621273229138;57.5968053565722;Trees;Coniferous forest;3
11;27.9070831420989;59.3615210425214;Trees;Broad-leaved forest;13
12;25.3966731637326;58.6905363860902;Trees;Mixed forest;2
13;25.5122491976063;58.2549202465065;Trees;Mixed forest;3
14;26.6216927325663;58.9668132088093;Trees;Coniferous forest;2
15;25.7172219717391;59.2661985168998;Trees;Mixed forest;12
16;25.1994766580772;58.4291670030753;Trees;Mixed forest;2
17;26.1749419790432;57.6006433054402;Trees;Coniferous forest;3
18;27.2675897397589;58.3052511700126;Trees;Mixed forest;4
19;23.7632706853748;58.672776734385;Trees;Broad-leaved forest;10
20;24.9250342309584;59.2253926500053;Trees;Mixed forest;8
21;25.8500965696723;58.2909369440885;Trees;Mixed forest;11
22;24.8658506593155;58.7914225442264;Trees;Coniferous forest;3
23;22.1903534906586;58.1889196781171;Trees;Broad-leaved forest;4
24;25.7547311182688;58.0777262404786;Trees;Coniferous forest;3
25;25.4165001639166;58.4458147137356;Trees;Mixed forest;6
26;25.996303142067;57.6924504097726;Trees;Coniferous forest;17
27;26.5261537306827;58.5745474580858;Trees;Broad-leaved forest;10
28;25.2638472265386;58.3633611448292;Trees;Mixed forest;2
29;24.6062456607676;58.7168007326793;Trees;Mixed forest;2
30;26.535951594485;57.7919992394005;Trees;Coniferous forest;11
31;27.4913848748467;58.0338884655018;Trees;Broad-leaved forest;7
32;24.4958483179347;57.6789409397073;Trees;Coniferous forest;3
33;24.8918279993502;59.2173995740883;Trees;Mixed forest;4
34;22.2628822308804;57.653015279322;Trees;Coniferous forest;11
35;22.1412876138928;58.3962947409666;Trees;Coniferous forest;6
36;26.694710108723;58.7558405344422;Trees;Broad-leaved forest;2
37;25.9662181449204;59.4796619376099;Trees;Coniferous forest;4
38;25.0095501979864;58.3605345208037;Trees;Mixed forest;2
39;25.014707199915;58.3004838131487;Trees;Coniferous forest;2
40;26.7325364350512;57.5405716221208;Trees;Mixed forest;24
41;25.0592345969112;58.1461122907779;Trees;Coniferous forest;6
42;27.2937399390744;59.0627348770167;Trees;Coniferous forest;10
43;26.0848894461873;57.9860254385605;Trees;Mixed forest;7
44;22.118786338469;57.9641287166277;Rangeland;Coniferous forest;6
45;25.3940606278374;58.6950906179385;Trees;Mixed forest;3
46;25.9722554056888;59.1462326699862;Trees;Mixed forest;3
47;27.7390314774777;57.8677167105287;Rangeland;Coniferous forest;3
48;25.3146636203649;57.8322538305769;Trees;Coniferous forest;11
49;26.1062985919089;58.7498178405667;Trees;Mixed forest;2
50;25.99788834347;57.5409599666598;Trees;Broad-leaved forest;3
51;25.4589230415439;57.6521863030582;Trees;Mixed forest;7
52;24.1957384866094;58.9739733826161;Trees;Coniferous forest;6
53;24.3989750771217;58.8157216872119;Trees;Coniferous forest;6
54;24.754781117055;59.3814686044424;Trees;Mixed forest;38
55;25.1752427836921;57.9205225313802;Trees;Mixed forest;4
56;26.6695162948932;58.5917908372531;Trees;Broad-leaved forest;18
57;24.2307989697527;58.6648148782617;Trees;Broad-leaved forest;2
58;27.2999415286001;58.2173190453433;Trees;Broad-leaved forest;7
59;26.0141208536334;58.7454962427039;Trees;Coniferous forest;2
60;24.449591837826;59.0963273675394;Trees;Coniferous forest;12
61;24.6509297706125;58.2976807709955;Trees;Mixed forest;12
62;27.2055432492102;57.5727622329335;Trees;Coniferous forest;2
63;26.1173874466279;59.3999334449599;Crops;Broad-leaved forest;3
64;27.6247844617227;59.2429265681489;Trees;Coniferous forest;10
65;26.5577574476199;58.0701532872401;Trees;Mixed forest;6
66;26.734427360835;57.6485544608636;Trees;Coniferous forest;7
67;25.4478759954149;58.473976371846;Trees;Mixed forest;6
68;24.6025437133978;58.6623368145303;Trees;Mixed forest;3
69;27.1543765630643;57.7332906690583;Trees;Mixed forest;11
70;26.4553339624551;58.6625294382691;Trees;Broad-leaved forest;5
71;24.9794849332993;58.1615243333621;Trees;Coniferous forest;10
72;26.9716884877683;59.3363036195724;Trees;Mixed forest;27
73;25.4748223997501;59.4237202424908;Trees;Broad-leaved forest;3
74;22.1542664639145;58.0354836512652;Trees;Mixed forest;4
75;22.4395984648735;58.4240861590279;Trees;Broad-leaved forest;11
76;26.5829423346631;59.4255939183391;Rangeland;Mixed forest;10
77;22.8439421136296;58.3644907467939;Trees;Broad-leaved forest;7
78;26.3694090663711;58.5361207922875;Trees;Mixed forest;3
79;25.8784667220207;59.4458939831452;Rangeland;Mixed forest;8
80;26.6554565404075;58.8515444424592;Trees;Mixed forest;4
81;27.0662727705859;57.5982730608117;Trees;Mixed forest;6
82;22.6748435655123;58.7409232635303;Trees;Broad-leaved forest;4
83;27.1288532311774;58.3660354236756;Trees;Broad-leaved forest;12
84;26.4927195647422;59.3891402766432;Trees;Mixed forest;7
85;27.5656185108448;57.9222580601092;Trees;Coniferous forest;11
86;21.9882240930264;58.433911455459;Trees;Broad-leaved forest;10
87;24.7673688814633;58.2964579749671;Rangeland;Mixed forest;1
88;26.7310277783068;59.404105767176;Trees;Coniferous forest;6
89;25.004616951711;59.0836607432628;Crops;Mixed forest;10
90;26.9638784403884;58.9182384550228;Trees;Mixed forest;6
91;26.1202229041096;57.67328352303;Trees;Coniferous forest;2
92;26.8558083973656;59.186986251591;Trees;Broad-leaved forest;19
93;25.3179811735363;58.493986134859;Trees;Coniferous forest;2
94;25.0474761250834;58.5581538999914;Trees;Mixed forest;2
95;24.5055720628851;58.7393213691656;Trees;Mixed forest;2
96;25.594931962025;58.1997730063859;Trees;Mixed forest;5
97;25.5788834885269;57.9356368241715;Trees;Mixed forest;3
98;23.735050174664;58.477802673079;Trees;Coniferous forest;6
99;25.6291009422795;57.6291516425643;Trees;Coniferous forest;3
100;24.9002027436012;58.3632652144722;Trees;Coniferous forest;3
101;25.9248391544004;58.2887153540245;Water;Broad-leaved forest;3
102;25.4249688166752;58.8762465383217;Trees;Mixed forest;13
103;24.5997915221481;58.4828943531988;Trees;Broad-leaved forest;3
104;26.9314263801577;59.0637875880267;Trees;Mixed forest;2
105;22.7450963974116;58.4092562951203;Trees;Broad-leaved forest;7
106;24.3126149056497;59.3633894668084;Trees;Coniferous forest;7
107;24.7998455638605;58.7462186950061;Trees;Mixed forest;10
108;26.6874430738144;57.6134879048801;Trees;Mixed forest;7
109;26.2911193042832;58.3965012022069;Trees;Broad-leaved forest;3
110;24.1816345588801;59.1788840147886;Trees;Mixed forest;3
111;25.6292982912731;58.3129660177299;Trees;Mixed forest;13
112;24.6793370138596;58.850582674867;Trees;Mixed forest;3
113;23.5268775999814;59.1861345983832;Trees;Mixed forest;9
114;26.8709608176918;58.6362858408125;Trees;Coniferous forest;3
115;25.1579805974927;58.1478713949728;Trees;Coniferous forest;4
116;27.3899085747122;58.2932071513705;Trees;Mixed forest;11
117;25.3088411601249;58.6817874064332;Trees;Mixed forest;3
118;27.0506303766009;57.6538749903656;Trees;Mixed forest;2
119;27.3086485261688;57.8363919022201;Trees;Mixed forest;15
120;25.2967058744582;57.800812666334;Trees;Broad-leaved forest;12
121;26.1741135491733;58.9070827598443;Trees;Broad-leaved forest;3
122;27.5961975000266;57.9483267140866;Trees;Coniferous forest;9
123;25.3300566356298;58.8766184182645;Trees;Mixed forest;3
